"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","SamsungE_a3:ec:d0","Broadcast","ARP","60","Who has 192.168.1.1? Tell 192.168.1.21"
"2","0.496407","192.168.1.3","54.149.94.178","TLSv1.2","122","Application Data"
"3","0.497430","192.168.1.3","172.217.3.174","UDP","1392","61463  >  443 Len=1350"
"4","0.527301","54.149.94.178","192.168.1.3","TLSv1.2","122","Application Data"
"5","0.527389","192.168.1.3","54.149.94.178","TCP","66","50908  >  443 [ACK] Seq=57 Ack=57 Win=2047 Len=0 TSval=1877935662 TSecr=1314674307"
"6","0.535290","172.217.3.174","192.168.1.3","UDP","1392","443  >  61463 Len=1350"
"7","0.535735","192.168.1.3","172.217.3.174","UDP","70","61463  >  443 Len=28"
"8","0.535929","192.168.1.3","172.217.3.174","UDP","989","61463  >  443 Len=947"
"9","0.536055","192.168.1.3","172.217.3.174","UDP","778","61463  >  443 Len=736"
"10","0.560264","172.217.3.174","192.168.1.3","UDP","62","443  >  61463 Len=20"
"11","0.569169","172.217.3.174","192.168.1.3","UDP","872","443  >  61463 Len=830"
"12","0.569174","172.217.3.174","192.168.1.3","UDP","108","443  >  61463 Len=66"
"13","0.569176","172.217.3.174","192.168.1.3","UDP","454","443  >  61463 Len=412"
"14","0.569186","172.217.3.174","192.168.1.3","UDP","269","443  >  61463 Len=227"
"15","0.569694","192.168.1.3","172.217.3.174","UDP","70","61463  >  443 Len=28"
"16","0.569843","192.168.1.3","172.217.3.174","UDP","70","61463  >  443 Len=28"
"17","2.309127","192.168.1.3","74.125.195.189","UDP","75","51561  >  443 Len=33"
"18","2.354781","74.125.195.189","192.168.1.3","UDP","68","443  >  51561 Len=26"
"19","2.386191","192.168.1.3","74.125.142.189","UDP","65","61825  >  443 Len=23"
"20","2.411340","74.125.142.189","192.168.1.3","UDP","64","443  >  61825 Len=22"
"21","2.924823","192.168.1.3","74.125.142.189","UDP","75","60610  >  443 Len=33"
"22","2.959371","74.125.142.189","192.168.1.3","UDP","68","443  >  60610 Len=26"
"23","2.962131","192.168.1.3","192.168.1.11","TCP","176","53628  >  8009 [PSH, ACK] Seq=1 Ack=1 Win=2048 Len=110 TSval=1877938090 TSecr=5243226 [TCP segment of a reassembled PDU]"
"24","2.967966","192.168.1.11","192.168.1.3","TCP","176","8009  >  53628 [PSH, ACK] Seq=1 Ack=111 Win=660 Len=110 TSval=5243727 TSecr=1877938090 [TCP segment of a reassembled PDU]"
"25","2.968045","192.168.1.3","192.168.1.11","TCP","66","53628  >  8009 [ACK] Seq=111 Ack=111 Win=2046 Len=0 TSval=1877938095 TSecr=5243727"
"26","3.035204","192.168.1.3","172.217.14.197","TLSv1.2","90","Application Data"
"27","3.035355","192.168.1.3","172.217.14.197","TCP","66","55666  >  443 [FIN, ACK] Seq=25 Ack=1 Win=2048 Len=0 TSval=1877938161 TSecr=3843875851"
"28","3.053112","172.217.14.197","192.168.1.3","TCP","66","443  >  55666 [ACK] Seq=1 Ack=25 Win=315 Len=0 TSval=3843995946 TSecr=1877938161"
"29","3.053119","172.217.14.197","192.168.1.3","TCP","66","443  >  55666 [FIN, ACK] Seq=1 Ack=26 Win=315 Len=0 TSval=3843995946 TSecr=1877938161"
"30","3.053249","192.168.1.3","172.217.14.197","TCP","66","55666  >  443 [ACK] Seq=26 Ack=2 Win=2048 Len=0 TSval=1877938178 TSecr=3843995946"
"31","3.282564","SamsungE_a3:ec:d0","Broadcast","ARP","60","Who has 192.168.1.1? Tell 192.168.1.21"
"32","3.485979","74.125.142.189","192.168.1.3","UDP","85","443  >  61825 Len=43"
"33","3.492109","192.168.1.3","74.125.142.189","UDP","71","61825  >  443 Len=29"
"34","3.685945","192.168.1.12","224.0.0.251","MDNS","136","Standard query 0x00c3 PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"35","3.686948","192.168.1.11","224.0.0.251","MDNS","421","Standard query response 0x0000 PTR Google-Home-Mini-d32bc91b75e125ead80a59ba121b2e34._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 d32bc91b-75e1-25ea-d80a-59ba121b2e34.local A, cache flush 192.168.1.11"
"36","5.493293","192.168.1.3","44.242.82.234","TLSv1.2","108","Application Data"
"37","5.525467","44.242.82.234","192.168.1.3","TLSv1.2","104","Application Data"
"38","5.525519","192.168.1.3","44.242.82.234","TCP","66","50919  >  443 [ACK] Seq=43 Ack=39 Win=2047 Len=0 TSval=1877940643 TSecr=258462742"
"39","6.143864","SamsungE_a3:ec:d0","Broadcast","ARP","60","Who has 192.168.1.1? Tell 192.168.1.21"
"40","6.761769","74.125.28.189","192.168.1.3","UDP","85","443  >  53320 Len=43"
"41","6.766212","74.125.28.189","192.168.1.3","UDP","85","443  >  53320 Len=43"
"42","6.767864","192.168.1.3","74.125.28.189","UDP","71","53320  >  443 Len=29"
"43","6.919832","192.168.1.3","216.58.217.35","UDP","75","62548  >  443 Len=33"
"44","6.982513","216.58.217.35","192.168.1.3","UDP","67","443  >  62548 Len=25"
"45","7.968519","192.168.1.3","192.168.1.11","TCP","176","53628  >  8009 [PSH, ACK] Seq=111 Ack=111 Win=2048 Len=110 TSval=1877943077 TSecr=5243727 [TCP segment of a reassembled PDU]"
"46","7.979701","192.168.1.11","192.168.1.3","TCP","176","8009  >  53628 [PSH, ACK] Seq=111 Ack=221 Win=660 Len=110 TSval=5244228 TSecr=1877943077 [TCP segment of a reassembled PDU]"
"47","7.979756","192.168.1.3","192.168.1.11","TCP","66","53628  >  8009 [ACK] Seq=221 Ack=221 Win=2046 Len=0 TSval=1877943088 TSecr=5244228"
"48","9.012050","SamsungE_a3:ec:d0","Broadcast","ARP","60","Who has 192.168.1.1? Tell 192.168.1.21"
"49","9.676782","192.168.1.3","192.168.1.1","DNS","84","Standard query 0x1272 PTR 3.1.168.192.in-addr.arpa"
"50","9.686617","192.168.1.3","192.168.1.1","DNS","84","Standard query 0x7737 PTR 3.1.168.192.in-addr.arpa"
"51","9.687786","192.168.1.3","192.168.1.1","DNS","84","Standard query 0x50d0 PTR 3.1.168.192.in-addr.arpa"
"52","9.701223","192.168.1.1","192.168.1.3","DNS","84","Standard query response 0x1272 No such name PTR 3.1.168.192.in-addr.arpa"
"53","9.701270","192.168.1.3","192.168.1.1","ICMP","70","Destination unreachable (Port unreachable)"
"54","9.706199","192.168.1.3","224.0.0.251","MDNS","616","Standard query 0x0000 PTR _airport._tcp.local, ""QU"" question PTR _rdlink._tcp.local, ""QU"" question PTR _uscan._tcp.local, ""QU"" question PTR _ippusb._tcp.local, ""QU"" question PTR _uscans._tcp.local, ""QU"" question PTR _ipp._tcp.local, ""QU"" question PTR _ipps._tcp.local, ""QU"" question PTR _scanner._tcp.local, ""QU"" question PTR _printer._tcp.local, ""QU"" question PTR _pdl-datastream._tcp.local, ""QU"" question PTR _ptp._tcp.local, ""QU"" question PTR _googlecast._tcp.local, ""QU"" question PTR _homekit._tcp.local, ""QU"" question PTR _companion-link._tcp.local, ""QU"" question TXT Google-Home-Mini-d32bc91b75e125ead80a59ba121b2e34._googlecast._tcp.local, ""QU"" question PTR _apple-mobdev._tcp.local, ""QU"" question PTR 94dc0821._sub._apple-mobdev2._tcp.local, ""QU"" question PTR _apple-pairable._tcp.local, ""QU"" question PTR _afpovertcp._tcp.local, ""QU"" question PTR _smb._tcp.local, ""QU"" question PTR _rfb._tcp.local, ""QU"" question PTR _adisk._tcp.local, ""QU"" question ANY Hans Gruber._companion-link._tcp.local, ""QU"" question PTR Google-Home-Mini-d32bc91b75e125ead80a59ba121b2e34._googlecast._tcp.local PTR Hans Gruber._companion-link._tcp.local PTR Massage Chair._companion-link._tcp.local PTR BRoom._companion-link._tcp.local SRV 0 0 53591 Hans-Gruber.local OPT"
"55","9.706277","192.168.1.3","224.0.0.251","MDNS","234","Standard query response 0x0000 PTR _companion-link._tcp.local TXT OPT"
"56","9.715574","192.168.1.1","192.168.1.3","DNS","84","Standard query response 0x7737 No such name PTR 3.1.168.192.in-addr.arpa"
"57","9.715577","192.168.1.1","192.168.1.3","DNS","84","Standard query response 0x50d0 No such name PTR 3.1.168.192.in-addr.arpa"
"58","9.715690","192.168.1.3","192.168.1.1","ICMP","70","Destination unreachable (Port unreachable)"
